Name,Address,Website,Phone
Durga Bar And Restaurant,"MWG2+89W, Opp. Kill Bagicha, Killa Road, Goldfinch Peth, Solapur",N/A,N/A
Lucky wine shop,"MWQ8+5X9, Solapur Bypass Road, Siddheshwar Society, Solapur",N/A,N/A
Ajantha wines.,"76/02, Bhavani Peth, Solapur",N/A,099752 64335
Hotel Mayura Bar,"99, Navi Peth, Solapur",N/A,N/A
Hotel New Punjab Grand,"12,A, near Asha Talkies, Murarji Peth, Solapur",N/A,098904 34371
Deepak Beer Shop,"MW2Q+7QJ, Nilam Sramjivi Nagar, Solapur",N/A,097301 55947
Asmit Hotel and Bar,"MWG2+646, Budhavar Peth, Solapur",N/A,N/A
Goodluck Bear Shop,"New Budhwar Peth, Solapur",N/A,095033 38981
HAP daily,"CTS NO:9137, NO:114, JODBHAVI PETH",https://hapdaily.com/,N/A
Danish Cake Shop,"Oppt axis Bank, Sudeep Complex, Danish cake shop ,Shop No. 14, Hotgi Road, Solapur",N/A,N/A
Danish Cake Shop,"9/18, Jule Solapur Road, Netaji Subhash Nagar, Solapur",N/A,090284 25656
L J BANGALORE BAKERY,"In Front, Ashok Chowk, Police Chowki, Shop No.1, Mahapadma Complex, Sakhar Peth, Solapur",N/A,087884 52488
A-1 Cake Shop,"MW8C+FVV, MIDC Road, New Paccha peth, Sakhar Peth, Solapur",N/A,088887 72172
ghante complex,"8, Near Walchand College, New Paccha peth, Sakhar Peth, Solapur",N/A,N/A
City Cakes,India,N/A,N/A
महाराजा स्विट्स,India,N/A,N/A
Mauali Krupa Dudley,"Shop No.01, New Pachha Peth, Solapur",N/A,096370 42088
Chocolate Mart,"MIDC Road, New Paccha peth, Sakhar Peth, Solapur",N/A,095030 89555
Uphar Bakery,"Sakhar Peth, Solapur",N/A,N/A
Nikhil's Bakers & Coldrinks,India,N/A,N/A
Moonlight cake shop solapur,"opposite old walchand collage, Sakhar Peth, Solapur",N/A,072767 36471
Janardan Bakery,"915, Ashok Chowk, Solapur",N/A,093261 61897
Satyam Namkin & Bakery,"Satyam Chowk, near WIT College, 34 A 1, Geeta Nagar, Solapur",N/A,090285 52330
सोलापूर बेकर्स,"प्लॉट नं.३४, न्यु पाच्छा पेठ, अशोक चौक, सोलापूर - ४१३००५",N/A,N/A
Swara Ice Cake,"Indira Nagar, Solapur",N/A,096232 10594
स्टार बेकरी,India,N/A,098505 44085
Dhisha Bakers,"Shop No 1, Dhisha Bakers, MIDC Road, Solapur",N/A,093259 93784
Nice BAKERY,"MW69+GR7, Old Kumbhari Road, Bapuji Nagar, Jawaharlal Housing Society, Police Head Quarters, Solapur",N/A,098237 18878
GOLDEN SWEETS AND BAKERY,"MW78+X8W, Kumta Naka, Solapur",N/A,N/A
New Sonawane Leder Belt & Kushan Makers,"Water Tank, 267/13, near Akkalkot Road, Raviwar Peth, Bhadravathi Peth, Solapur",N/A,098221 99102
AK danish cake shop,"Solapur - Akkalkot Road, Bhadravathi Peth, Solapur",N/A,N/A
Upahar Bakery,"Shop No 161, near Jamagandi Full, Telangi Pacha Peth, Shaniwar Peth, Solapur",N/A,098223 09701
B & B Bakery,"Muslim Pachha Peth, Sidheshwar Peth, Solapur",N/A,084128 16669
Super Bekery,"Shop No 1, Genetyal Chauk, Solapur",N/A,090288 07558
Apna Chai,"Flat No.51/3-8B, Rukmini Shopping Center Gala No.1, Uttar, South Sadar Bazar, Solapur",N/A,093712 69009
Chandkote,"2 Jodbasavanna, Chouk, Solapur",N/A,N/A
Prathmesh Adam,"Shop No 1, Jodbsavana Chowk, Solapur",N/A,091564 07320
Cijay Cakes,India,N/A,N/A
Upahar Bakers & Confectioners Factory,"C 26/13, Vinkar Gruha Nirman Co-Op. Sahakari Sanstha",N/A,0217 265 2030
Sadik Bekary,"02, Shastri Nagar, Solapur",N/A,084592 55582
New Star Bakery,"Imam Ahmed Raza Marg, tashkand road, shastri Nagra, Solapur",N/A,093705 04013
तहुरा बेकरी,"MWC7+F4F, Jail Road, Shaniwar Peth, Solapur",N/A,072767 04341
Solapur bakers,"381, Budhwar Bazaar Road, Sakhar Peth, Solapur",N/A,083082 37620
CAKE CREAMY,"MW4G+X8G, Old Kumbhari Road, Mumtaj Nagar, New Paccha peth, Sakhar Peth, Solapur",N/A,088889 82599
ईश्वरी ब्युटी पार्लर अँड लेडीज टेलर Ishwari Beauty parlour and Ladies Tailor,"fire brigade Colony, Sakhar Peth, Solapur",N/A,089751 05484
Nandal Tiffins & Sweets & Chinese Restaurant,"Plot no 117,shop no 3&4 Kallapana nagar godutai vidi, gharkul road, Solapur",N/A,086238 20285
Delight Cake Shop,"70 Feet Road, Indira Nagar, Solapur",N/A,098229 17226
Yadgar Chicken Centre,"Shop No 1, Shandar Chowk, South Sadar Bazar, Solapur",N/A,091750 38032
Jai Bharat Bakery,"MW49+F8C, Shandar Chowk, Shastri Nagar, Solapur",N/A,094203 00863
MORYA CAKE SHOP,Solapur,N/A,N/A
Allah Bakhsh Bakery,"399/400, Sidheshwar Peth, Solapur",N/A,N/A
एल.जे. बेकरी,"MWFJ+6F6, Gandhi Nagar Road, Solapur",N/A,N/A
ANU CAKE SHOP,"Shop No 3, Rajendra Chowk, Solapur",N/A,098606 99536
Sangam BAKERY,"near Peace Tawar, Plot No 205/19 Tengli Pacha Pete, near Peace Tawar, Kidwai Chowk, Begum Peth, Shaniwar Peth, Solapur",N/A,088558 01495
Uphar BAkers & Provision Stores,India,N/A,N/A
Mumtaj Bakery,"near Kidwai Chowk, 294, Begum Peth, Solapur",N/A,088889 91920
Puna,"56, Sakhar Peth Road, Sakhar Peth, Shaniwar Peth, Solapur",N/A,N/A
Dream Foundation,"Sakhar Peth, Solapur",N/A,098909 48388
बेकर्स बास्केट,"MWH8+26H, DAV College Road, Shaniwar Peth, Solapur",N/A,N/A
L.J BENGLUR IYENGAR BNAKER,"main circle, Kanna Chowk, Solapur",N/A,N/A
NEW DYNAMITE BAKERY,"near Twinkle English Medium School, 428, Begum Peth, Mushrad Katta, Solapur",N/A,099700 18037
S CAKE SHOP,"SHOP NO.01, opp. YASHODHARA HOSPITAL, Begum Peth, Solapur",N/A,074073 37810
Muzammil Ajaz kotimbre,"Painter Chowk, Shaniwar Peth, Solapur",N/A,N/A
Hot chips,"155/56/2A, opp. SBI bank, Kanna Chowk, Raviwar Peth, Bhavani Peth, Solapur",N/A,N/A
सिल्वर बेकरी,"४४०, बेगम पेठ, सोलापूर",N/A,N/A
Apple Nuts Cake,"near Komal Electronics, Kanna chowk, Circle Near shree chowdeshwari mandir, close, near Komal Electronics, to, Bhavani Peth, Solapur",N/A,091122 50260
